image,number_responses,avg_words_per_response,percent_unique_words,simpson_diversity,modal_agreement,modal_names,modal_response_agreement,modal_response
VCS_10.png,159,1.9119496855345912,0.3092105263157895,0.09238752822650687,0.3584905660377358,نجم,0.2641509433962264,نجمة
VCS_100.png,158,1.6075949367088607,0.4881889763779528,0.027014409760044815,0.18354430379746836,ارنب,0.1518987341772152,ارنب
VCS_110.png,179,1.7486033519553073,0.48242811501597443,0.033976406979601866,0.27932960893854747,ارنب,0.18994413407821228,ارنب
VCS_120.png,171,1.6608187134502923,0.5105633802816901,0.024884288060518588,0.2046783625730994,ارنب,0.1695906432748538,ارنب
VCS_130.png,156,1.9038461538461537,0.5185185185185185,0.012103012103012104,0.10256410256410256,شكل,0.04487179487179487,مزهرية
VCS_140.png,171,1.5730994152046784,0.5130111524163569,0.014731176829606613,0.0935672514619883,"شكل,مزهرية",0.08771929824561403,مزهرية
VCS_150.png,178,1.6235955056179776,0.5017301038062284,0.01696462898885044,0.12921348314606743,شكل,0.09550561797752809,مزهرية
VCS_160.png,160,1.66875,0.5205992509363296,0.017740981667652277,0.13125,مزهرية,0.13125,مزهرية
VCS_170.png,184,1.7065217391304348,0.49044585987261147,0.018273946399137177,0.11956521739130435,مزهرية,0.11956521739130435,مزهرية
VCS_180.png,175,1.8342857142857143,0.5015576323987538,0.016277258566978193,0.14285714285714285,شكل,0.05714285714285714,"درع,شكل.غير.منتظم"
VCS_190.png,156,1.8269230769230769,0.5578947368421052,0.013071410921670372,0.1346153846153846,شكل,0.0641025641025641,درع
VCS_20.png,184,1.940217391304348,0.3641456582633053,0.053189815251943474,0.29347826086956524,نجمة,0.20108695652173914,نجمة
VCS_200.png,176,2.102272727272727,0.5405405405405406,0.016304108987035815,0.1590909090909091,شكل,0.07386363636363637,درع
VCS_210.png,174,1.9425287356321839,0.4260355029585799,0.03822450090425439,0.3160919540229885,خماسي,0.16666666666666666,خماسي
VCS_220.png,154,1.5909090909090908,0.31020408163265306,0.1104382736701238,0.4935064935064935,خماسي,0.34415584415584416,خماسي
VCS_230.png,181,1.8784530386740332,0.4176470588235294,0.028249175776505292,0.15469613259668508,نجمة,0.08839779005524862,نجمة
VCS_240.png,185,2.027027027027027,0.328,0.04427807486631016,0.2756756756756757,نجمة,0.11891891891891893,نجمة
VCS_250.png,160,2.19375,0.3646723646723647,0.03881155881155881,0.2375,"ه,نجمة",0.08125,"نجمة,تاج"
VCS_260.png,173,2.208092485549133,0.3193717277486911,0.041376372456060795,0.2947976878612717,نجمة,0.10982658959537572,تاج
VCS_270.png,179,2.3072625698324023,0.34382566585956414,0.04051576200662921,0.2737430167597765,نجمة,0.12290502793296089,تاج
VCS_280.png,164,2.432926829268293,0.3182957393483709,0.04832432840896211,0.3048780487804878,ه,0.09146341463414634,تاج
VCS_290.png,190,2.0789473684210527,0.3848101265822785,0.03793613056608623,0.2736842105263158,نجمة,0.13157894736842105,نجمة
VCS_30.png,179,1.776536312849162,0.41509433962264153,0.035176477590619606,0.19553072625698323,نجمة,0.1340782122905028,نجمة
VCS_300.png,168,2.2023809523809526,0.4027027027027027,0.03953709807368344,0.24404761904761904,نجم,0.08928571428571429,نجمة
VCS_310.png,158,2.1582278481012658,0.41348973607038125,0.04674831809556667,0.2974683544303797,ه,0.10759493670886076,نجم.ه
VCS_320.png,168,1.9821428571428572,0.4024024024024024,0.05548319403741091,0.2976190476190476,نجمة,0.17857142857142858,نجمة
VCS_330.png,172,1.9883720930232558,0.4269005847953216,0.0609661984874209,0.32558139534883723,نجمة,0.21511627906976744,نجمة
VCS_340.png,160,2.09375,0.408955223880597,0.06492090445973724,0.3625,نجمة,0.20625,نجمة
VCS_350.png,188,1.7340425531914894,0.25153374233128833,0.1404624823029731,0.4787234042553192,نجمة,0.32978723404255317,نجمة
VCS_360.png,182,1.8296703296703296,0.2732732732732733,0.12064474112666884,0.42857142857142855,نجمة,0.2967032967032967,نجمة
VCS_40.png,155,1.9741935483870967,0.46405228758169936,0.024172291867566698,0.22580645161290322,ه,0.06451612903225806,"بقعة,نجمة"
VCS_50.png,169,1.863905325443787,0.48253968253968255,0.02113032049337782,0.17159763313609466,ه,0.10650887573964497,بقعة
VCS_60.png,174,1.8735632183908046,0.5705521472392638,0.01315714959886739,0.12643678160919541,شكل,0.07471264367816093,بقعة
VCS_70.png,157,1.7515923566878981,0.5927272727272728,0.013032514930325149,0.12738853503184713,شكل,0.03821656050955414,شكل.عشوائي
VCS_80.png,166,1.8012048192771084,0.5183946488294314,0.016879531323651546,0.1566265060240964,ارنب,0.10843373493975904,ارنب
VCS_90.png,167,1.7425149700598803,0.5223367697594502,0.027823201801161275,0.2275449101796407,ارنب,0.16167664670658682,ارنب
dog.png,531,1.3917137476459511,0.20433017591339647,0.22543464947504685,0.6045197740112994,كلب,0.504708097928437,كلب
square.png,537,1.1899441340782122,0.12050078247261346,0.49206979950059115,0.8324022346368715,مربع,0.7635009310986964,مربع
triangle.png,540,1.2185185185185186,0.11550151975683891,0.5292177300338187,0.8833333333333333,مثلث,0.7962962962962963,مثلث
