image_pair,distance,word_cosine_sim,response_cosine_sim
10_100,90,0.036184651012597,0.04794633014853841
10_110,100,0.03164255938535266,0.0
10_120,110,0.043585502734650415,0.0
10_130,120,0.0542769765188955,0.0
10_140,130,0.033686076842660756,0.0
10_150,140,0.03766217885773548,0.0
10_160,150,0.04176102558320049,0.0
10_170,160,0.02485372443707301,0.0
10_180,170,0.042896829840336416,0.0
10_190,180,0.028301965507089,0.0
10_20,10,0.8008992758330019,0.6483527187784862
10_200,170,0.12979368423130747,0.0
10_210,160,0.3078899252996105,0.0
10_220,150,0.20806174332243274,0.0
10_230,140,0.36467396399627056,0.0
10_240,130,0.5071730628880796,0.05360562674188975
10_250,120,0.5505694638327555,0.023973165074269207
10_260,110,0.38388069196334684,0.02526993478596344
10_270,100,0.4260989130330459,0.05730682550612528
10_280,90,0.5197389933692805,0.0
10_290,80,0.4040666737305971,0.0
10_30,20,0.7170186629253795,0.36393013212130526
10_300,70,0.6077965197922054,0.0
10_310,60,0.6832783480484759,0.09143006417649889
10_320,50,0.7585256599348611,0.259416646850118
10_330,40,0.7133564860261238,0.15474611514754325
10_340,30,0.8387581675577135,0.6190160406244063
10_350,20,0.8642123963540458,0.6410906364162967
10_360,10,0.5109528548683451,0.24565184222025874
10_40,30,0.6875083692393429,0.23973165074269207
10_50,40,0.44488822406857836,0.07444375004781977
10_60,50,0.5384973628032486,0.0
10_70,60,0.44901917549036385,0.025751310131230238
10_80,70,0.0,0.0
10_90,80,0.021164317410844256,0.0
10_dog,NA,0.023309280227027062,0.0
10_square,NA,0.005409006462319675,0.0
10_triangle,NA,0.03900728431530917,0.0
100_110,10,0.4036036763977875,0.24343224778007383
100_120,20,0.20384356208180285,0.21081851067789195
100_130,30,0.2307692307692308,0.10540925533894598
100_140,40,0.1432229748078866,0.03227486121839514
100_150,50,0.08006407690254358,0.0
100_160,60,0.08877760302855439,0.03131121455425747
100_170,70,0.07044699536763468,0.0
100_180,80,0.09119215051751066,0.0
100_190,90,0.09024852563942802,0.0
20_100,80,0.013406223004292965,0.02817180849095055
100_200,100,0.08115343414514944,0.0
100_210,110,0.09132938483219745,0.0
100_220,120,0.019230769230769232,0.0
100_230,130,0.049221682989485274,0.0
100_240,140,0.047918798518276025,0.0
100_250,150,0.03657584779797275,0.0
100_260,160,0.05264981264926564,0.0
100_270,170,0.03774256780481986,0.0
100_280,180,0.03127036494188125,0.0
100_290,170,0.015907119074394443,0.0
30_100,70,0.04313979814072881,0.03892494720807615
100_300,160,0.033415943951558474,0.0
100_310,150,0.08069700435584032,0.0
100_320,140,0.02179068168202045,0.0
100_330,130,0.044602577508753946,0.0
100_340,120,0.03657584779797275,0.026082026547865053
100_350,110,0.009930726528736968,0.021223817998900444
100_360,100,0.01645770046691583,0.0
40_100,60,0.038461538461538464,0.0
50_100,50,0.10853039276555741,0.0
60_100,40,0.05283524652572602,0.0
70_100,30,0.2633232074706533,0.1432229748078866
80_100,20,0.23671603823699966,0.12524485821702988
90_100,10,0.31494488946609334,0.11952286093343938
100_dog,NA,0.021678996722786316,0.0
100_square,NA,0.003832908968626753,0.0
100_triangle,NA,0.00276411889938478,0.0
110_120,10,0.3078967686872781,0.22452510468485445
110_130,20,0.26906911759852503,0.09622504486493763
110_140,30,0.20352289460267356,0.14731391274719738
110_150,40,0.140028008402801,0.0
110_160,50,0.07763376175556712,0.0
110_170,60,0.10780719313589705,0.026688025634181187
110_180,70,0.1395541389950575,0.0
110_190,80,0.09207338730881487,0.0
20_110,90,0.0,0.0
110_200,90,0.09935326726564042,0.0
