image_pair,distance,word_cosine_sim,response_cosine_sim
10_100,90,0.16194644037265554,0.004248741577961354
10_110,100,0.13227396634360664,0.002065978180814777
10_120,110,0.13969392431348254,0.03024137607833902
10_130,120,0.2423235191312991,0.008525655364591685
10_140,130,0.16295413511992776,0.003912301986107825
10_150,140,0.12789156931905965,0.007592049335289032
10_160,150,0.13238378138755286,0.0043156422276522605
10_170,160,0.20435395430767495,0.008709000907047824
10_180,170,0.19968066663035755,0.015155542689179242
10_190,180,0.23667951781237187,0.015238831492637904
10_20,10,0.9583965263319867,0.9103543536683564
10_200,170,0.31494372447006935,0.01795211035793898
10_210,160,0.2210744374289454,0.017302724246743784
10_220,150,0.1292253622045919,0.024252412506535932
10_230,140,0.6973565615443579,0.5961406078428608
10_240,130,0.8309290518249136,0.7353539276539504
10_250,120,0.845786915337718,0.6670631423588824
10_260,110,0.7767733828968154,0.5797215944529418
10_270,100,0.8288281299280674,0.5332703117488398
10_280,90,0.8321829426111538,0.6330533546094218
10_290,80,0.8369116874274424,0.7426783904328753
10_30,20,0.8891152144989973,0.8639629175398688
10_300,70,0.8860449412447452,0.6919803304800501
10_310,60,0.9087033135949691,0.7404294860387751
10_320,50,0.9302448656394954,0.8839903372564872
10_330,40,0.9494753851792613,0.9362350172035432
10_340,30,0.9525035980571527,0.9446261480521148
10_350,20,0.9669211215302888,0.9742977352850309
10_360,10,0.9786039436311791,0.9725851395655086
10_40,30,0.7820932288620672,0.6074888836336717
10_50,40,0.5202377393138778,0.2518788770999687
10_60,50,0.40807948271467454,0.1228219529711951
10_70,60,0.3758008317290087,0.1314831226038313
10_80,70,0.17282799310772728,0.005599104214982671
10_90,80,0.12123466969412211,0.0297956794618063
10_dog,NA,0.020965383372665132,0.0
10_square,NA,0.013310582528599861,0.0
10_triangle,NA,0.015608020498221855,4.5473706699786564e-05
100_110,10,0.8592689666506176,0.8378824700528889
100_120,20,0.8416010027524622,0.8321790704488475
100_130,30,0.6678467456901127,0.43473789315110567
100_140,40,0.42814998553705297,0.25114723896117347
100_150,50,0.4225808140645998,0.21847432887171436
100_160,60,0.32210315197265815,0.07051083819655089
100_170,70,0.3332297568360505,0.07278502309982206
100_180,80,0.3762227356862758,0.07329864034804193
100_190,90,0.39263341172033467,0.09293673162131846
20_100,80,0.18848543751920316,0.006359631595233728
100_200,100,0.39101609762246503,0.07170891478457407
100_210,110,0.23078992549599772,0.05471601834553162
100_220,120,0.14073126864834892,0.03396398186446872
100_230,130,0.259135357854154,0.027260408948285658
100_240,140,0.23946794891946369,0.01765886197322385
100_250,150,0.23726807996226162,0.01220740088543526
