image_pair,distance,word_cosine_sim,lemma_cosine_sim,response_cosine_sim
10_100,90,0.017014038119297532,0.029111125486979098,0.0
10_110,100,0.006921451187307275,0.006909709955465281,0.009818087045699813
10_120,110,0.0031816814513383855,0.0031762841930819026,0.0
10_130,120,0.011904761904761904,0.01188456721353821,0.0
10_140,130,0.010978189705254859,0.01070950575165019,0.0
10_150,140,0.0028873288694801543,0.0028824309374217995,0.0
10_160,150,0.011812831865638902,0.014740991400388205,0.0
10_170,160,0.0033231578942802533,0.0033175206418849966,0.0
10_180,170,0.007233852622026191,0.010832372170111786,0.0
10_190,180,0.012073632210407382,0.012053151055354618,0.0
10_20,10,0.8485161293721346,0.8498092512196623,0.6335489957025884
10_200,170,0.08972526314556684,0.09289057797277991,0.08442752589059524
10_210,160,0.14646131275144472,0.14824359671002438,0.05865183903891606
10_220,150,0.08327762872410176,0.08486836788819847,0.0
10_230,140,0.53011483307233,0.5292155706215023,0.374583620946461
10_240,130,0.8323407269681767,0.8309287823943582,0.6241139111841354
10_250,120,0.887066956258818,0.883032058789468,0.6563301233138936
10_260,110,0.8697508168674026,0.8657981585227394,0.70115966796044
10_270,100,0.8889228690618566,0.8875736553261605,0.718914459938711
10_280,90,0.8911563693549239,0.8866264781326596,0.7307981486470351
10_290,80,0.8922514952672304,0.894217365821399,0.7401080545267136
10_30,20,0.7649890062330341,0.7636913140243207,0.6794155338988273
10_300,70,0.852197919106871,0.8562647235470703,0.7361547592694504
10_310,60,0.9009138467251568,0.9012604056777241,0.7564479498187098
10_320,50,0.9150110829164434,0.9154149149239182,0.8083149862208889
10_330,40,0.9522142977954673,0.9526009433850144,0.8321328349158293
10_340,30,0.9647051691816452,0.965506804652618,0.900798846268445
10_350,20,0.9652239113086968,0.9650644432865422,0.9127211501048007
10_360,10,0.9239886042108217,0.9315721962808355,0.8590999039863695
10_40,30,0.533627423972354,0.5360386726010533,0.3026137663344012
10_50,40,0.42591770999996,0.42345872629645376,0.16894639885402357
10_60,50,0.18135584272628796,0.18313760360569506,0.07214791053658227
10_70,60,0.15079365079365079,0.16638394098953493,0.12104550653376046
10_80,70,0.04582378770512748,0.04574605433668144,0.010379566554199115
10_90,80,0.0,0.003430779039969243,0.0
10_dog,NA,0.0,0.0004062654752799568,0.0
10_square,NA,0.04158965246843141,0.04151910169249655,0.0
10_triangle,NA,0.0,0.0,0.0
100_110,10,0.6145401325121778,0.6018678409411685,0.2148208058877394
100_120,20,0.5968190756992784,0.5923057020691221,0.4337361989746802
100_130,30,0.4962427784795113,0.49573006699183364,0.3010926755335382
100_140,40,0.16474290422720775,0.17518266842427593,0.038390615409376876
100_150,50,0.10109950405656763,0.09901475429766743,0.013459547551454138
100_160,60,0.16988170204462844,0.18084631555065478,0.07858682668274143
100_170,70,0.058180004807330876,0.05698028822981897,0.02064600347538335
100_180,80,0.11760011579094025,0.12403473458920847,0.056175441470485366
100_190,90,0.13085332903040106,0.12815503244929438,0.11616046389935493
20_100,80,0.041074699513287384,0.04693232544639321,0.03360514063549748
100_200,100,0.024934287774570376,0.0325601647027537,0.0
100_210,110,0.010175251629134706,0.009965430091645081,0.0
100_220,120,0.013017665386918526,0.016998974780249417,0.0
100_230,130,0.0,0.0,0.0
100_240,140,0.012771393239027087,0.012508037258952408,0.0
100_250,150,0.02158181788131366,0.029335732442442877,0.0
100_260,160,0.022084285403181796,0.021567181602754205,0.0
100_270,170,0.013052363801342831,0.01276052858947315,0.0
100_280,180,0.017481088317282678,0.025543712360663565,0.0
100_290,170,0.026151301640790246,0.02561204162859415,0.0
30_100,70,0.08805919567592878,0.10192395570471247,0.0325644804512918
100_300,160,0.004603458312068984,0.004508531450698594,0.0
100_310,150,0.008836246399868882,0.01295730118193358,0.0
100_320,140,0.004900430227655358,0.0047993795763099706,0.0
100_330,130,0.006903039197053725,0.006745602352141223,0.0
100_340,120,0.0,0.0,0.0
100_350,110,0.0,0.0,0.0
100_360,100,0.018340906889479345,0.022453379052211838,0.0
40_100,60,0.08341475799664513,0.11021667854435135,0.0401286176952564
50_100,50,0.11540178894644994,0.14360443902592007,0.05040771095324622
60_100,40,0.1432365781678268,0.15495032701332584,0.15546858380135548
70_100,30,0.27789595594852634,0.3013261191518989,0.3210289415620512
80_100,20,0.4375949744936836,0.4387755102040816,0.26839804517998356
90_100,10,0.618852747755276,0.6145094646025949,0.4610731755429477
100_dog,NA,0.0010178223807269992,0.001993668196234913,0.0
100_square,NA,0.1030727445627853,0.10094730506254583,0.14733982359087042
100_triangle,NA,0.0,0.0,0.0
110_120,10,0.7380844204222307,0.7380844204222307,0.3117146000796787
110_130,20,0.5329517414226601,0.5329517414226601,0.19320290100197884
110_140,30,0.2904146859374371,0.29834163402731917,0.06897577005006472
110_150,40,0.2467686780111897,0.2467686780111897,0.012091270835166862
110_160,50,0.26441811118486447,0.26441811118486447,0.014119562368122625
110_170,60,0.16229558627939583,0.16229558627939583,0.018547162802488575
110_180,70,0.1692824701878276,0.1692824701878276,0.0
110_190,80,0.12284357231681821,0.12284357231681821,0.01739196190134912
20_110,90,0.07240794992101335,0.07240794992101335,0.060377788380230155
110_200,90,0.013524632189949651,0.013524632189949651,0.0
110_210,100,0.0,0.0,0.0
110_220,110,0.0,0.0,0.0
110_230,120,0.0,0.0,0.0
110_240,130,0.0,0.0,0.0
110_250,140,0.0035118646837740894,0.003481510919237358,0.0
110_260,150,0.0,0.0,0.0
110_270,160,0.0,0.0,0.0
110_280,170,0.0,0.0,0.0
110_290,180,0.0035461884772665124,0.0035461884772665124,0.0
30_110,80,0.13026621048098594,0.13026621048098594,0.014627012952620632
110_300,170,0.007490899403510903,0.007490899403510903,0.0
110_310,160,0.0,0.0,0.0
110_320,150,0.007974141912624804,0.007974141912624804,0.021557782908969862
110_330,140,0.008424640025747545,0.008405835002240045,0.0
110_340,130,0.005994152559262065,0.005963802224704278,0.009413041578748418
110_350,120,0.006024971027490233,0.006024971027490233,0.014059775667524073
110_360,110,0.03357554561378526,0.03357554561378526,0.010099464540584711
40_110,70,0.06169784052082685,0.06104146184429263,0.05407380704358751
50_110,60,0.15889550967306115,0.15438691528095086,0.04528334128517262
60_110,50,0.20070716695692237,0.1995230435431518,0.021486752129677003
70_110,40,0.2018756596297955,0.2018756596297955,0.12617221643503754
80_110,30,0.5510057698757176,0.5594827817199595,0.24111311643235145
90_110,20,0.6643519086515455,0.6643519086515455,0.37135279287602746
110_dog,NA,0.08363982677029626,0.08363982677029626,0.0
110_square,NA,0.0015387465516445912,0.0015387465516445912,0.0025454131880853405
110_triangle,NA,0.0,0.0,0.0
120_130,10,0.43801147980091776,0.43801147980091776,0.14303239192265577
120_140,20,0.2669980599264711,0.2609060475120433,0.12766073029704134
120_150,30,0.27548658250966984,0.27548658250966984,0.18798015443535113
120_160,40,0.25414752525052176,0.2596724714516201,0.1881544522515954
120_170,50,0.18029471509697276,0.18029471509697276,0.0961161313666907
120_180,60,0.1826995371617588,0.18946618668626838,0.13698725738134743
120_190,70,0.12799695291157726,0.12799695291157726,0.025751310131230238
20_120,100,0.03584515564973317,0.03584515564973317,0.011174753906691854
120_200,80,0.012434118282549846,0.012434118282549846,0.0
120_210,90,0.0,0.0,0.0
120_220,100,0.0,0.0032457953611307612,0.0
120_230,110,0.0,0.0,0.0
120_240,120,0.0,0.0,0.0
120_250,130,0.0032286971103588358,0.00320079082105872,0.0
120_260,140,0.0,0.0,0.0
120_270,150,0.0,0.0,0.0
120_280,160,0.0032690213844779386,0.0032515554284144417,0.0
120_290,170,0.0,0.0,0.0
30_120,90,0.09581010095306071,0.09581010095306071,0.0216574040912105
120_300,180,0.006886895548638457,0.006886895548638457,0.0
120_310,170,0.009914443968959146,0.009896302244758567,0.0
120_320,160,0.0,0.0,0.0
120_330,150,0.0051635647262872056,0.005152038897793219,0.0
120_340,140,0.0,0.0,0.0
120_350,130,0.0,0.0,0.0
120_360,120,0.017149051519049427,0.02057886182285931,0.0
40_120,80,0.051050735608584585,0.050507627227610534,0.02668802563418119
50_120,70,0.09296222517045284,0.09032446046618911,0.03352426172007556
60_120,60,0.17857142857142858,0.17751790062418157,0.11930339305795835
70_120,50,0.21529377820723075,0.21529377820723075,0.16012815380508716
80_120,40,0.47540326087126905,0.47540326087126905,0.2883483941000721
90_120,30,0.7586581373136185,0.7650874435620391,0.719023388544283
120_dog,NA,0.0,0.0007613446183227135,0.0
120_square,NA,0.0,0.0,0.0
120_triangle,NA,0.0,0.0,0.0
130_140,10,0.435468191641776,0.46725109603364157,0.3038400702934084
130_150,20,0.43117444450903636,0.43117444450903636,0.2796274116779364
130_160,30,0.5099205755334125,0.5099205755334125,0.26433742576772723
130_170,40,0.302407368379503,0.302407368379503,0.16340147404113337
130_180,50,0.2700638312223111,0.2700638312223111,0.18524872445114318
130_190,60,0.22537446792760443,0.22537446792760443,0.13407108198891604
20_130,110,0.031933402718306136,0.031933402718306136,0.0
130_200,70,0.09304842103984708,0.09304842103984708,0.0
130_210,80,0.09492862863519566,0.09492862863519566,0.0
130_220,90,0.10120545157442921,0.10120545157442921,0.0
130_230,100,0.07618800137150636,0.07618800137150636,0.0
130_240,110,0.04765959172823915,0.04765959172823915,0.0
130_250,120,0.024161356785259634,0.027944612777976042,0.0
130_260,130,0.025754042800642207,0.025680564640056906,0.0
130_270,140,0.012177025603587075,0.01215541595815788,0.0
130_280,150,0.020385930017923094,0.024332412774463606,0.0
130_290,160,0.02439750182371333,0.02439750182371333,0.0
30_130,100,0.08215363107384047,0.08215363107384047,0.0
130_300,170,0.021473669667919717,0.021473669667919717,0.0
130_310,180,0.004121828056912483,0.004114285821760937,0.0
130_320,170,0.0,0.0,0.0
130_330,160,0.019320290100197885,0.019277164398874676,0.0
130_340,150,0.0034366087451763437,0.0034192080827592426,0.0
130_350,140,0.0,0.0,0.0
130_360,130,0.017110900077978178,0.017110900077978178,0.0
40_130,90,0.028298423998533925,0.03499671046381734,0.0
50_130,80,0.08281733249999221,0.0965609099170535,0.0
60_130,70,0.0668153104781061,0.0738012404616746,0.03549363932102258
70_130,60,0.12962962962962962,0.14814814814814814,0.218346822530985
80_130,50,0.3013261191518989,0.3013261191518989,0.04085036851028334
90_130,40,0.34480641076602647,0.3528251645047713,0.15729026546513936
130_dog,NA,0.28771776221780454,0.28771776221780454,0.1454458501651308
130_square,NA,0.0979247271756703,0.0979247271756703,0.14856710420162728
130_triangle,NA,0.0009059309031105588,0.0009059309031105588,0.0
