image,number_responses,avg_words_per_response,percent_unique_words,percent_unique_lemmas,simpson_diversity,modal_agreement,modal_names,modal_response_agreement,modal_response
VCS_10,25,2.0,0.54,0.46,0.06938775510204082,0.44,star,0.08,"four.points,four.point,x"
VCS_100,25,1.8,0.8666666666666667,0.7555555555555555,0.013131313131313131,0.12,"bottom,round",0.08,"tooth,blob"
VCS_110,25,1.8,0.8666666666666667,0.7555555555555555,0.013131313131313131,0.12,"bottom,round",0.08,"tooth,blob"
VCS_120,25,1.88,0.8723404255319149,0.7872340425531915,0.011100832562442183,0.12,"bottom,round",0.08,blob
VCS_130,25,1.8,0.8888888888888888,0.7777777777777778,0.013131313131313131,0.12,"bottom,blob,round",0.08,blob
VCS_140,25,1.88,0.8723404255319149,0.7872340425531915,0.011100832562442183,0.12,"bottom,round",0.04,"shield,two.rounded.horns,curves,square.blob,rounded.pentagon,curved,pentagon,u.shape.on.top.with.flatter.bottom,hourglass,dress,nan,badge,bunny.ears,miscellaneous,wide.bunny,vase,guitar,flat.bottoms,shapes.that.do.n't.fit.any.other.category,vases,flat.bottom,amoeba,concave.top,round,bodies"
VCS_150,25,2.0,0.88,0.8,0.009795918367346938,0.12,"shape,round",0.04,"shield,two.rounded.horns,curves,square.blob,curved,u.shape.on.top.with.flatter.bottom,hourglass,blobs,semi.square,bigger.vase,lopsided.jar.shape,curvy.rectangle,badge,bathing.suit,wide.bunny,miscellaneous,guitar,shapes.that.do.n't.fit.any.other.category,vases,round.top,flat.bottom,curvy,amoeba,round,bodies"
VCS_160,25,1.88,0.851063829787234,0.7872340425531915,0.01572617946345976,0.2,round,0.04,"shield,two.rounded.horns,curves,square.blob,rounded.pentagon,hourglass,blobs,semi.square,trapezoidish,bigger.vase,lopsided.jar.shape,curvy.rectangle,badge,bathing.suit,miscellaneous,fat,shapes.with.horizontal.line.and.smooth.edges,resembles.a.vase.shape,vases,round.top,flat.bottom,amoeba,bodies,round,round.rectangle"
VCS_170,25,2.04,0.8235294117647058,0.7647058823529411,0.01568627450980392,0.2,round,0.04,"two.rounded.horns,random,curves,square.blob,squiggly.blob,rounded.pentagon,blobs,semi.square,trapezoidish,bigger.vase,lopsided.jar.shape,curvy.rectangle,badge,bathing.suit,round.and.straight,fat,shapes.with.horizontal.line.and.smooth.edges,resembles.a.vase.shape,bread,hourglass.hexagon,round.top,flat.bottom,bodies,pointy,round.rectangle"
VCS_180,25,2.0,0.78,0.72,0.02122448979591837,0.24,round,0.08,rounded.pentagon
VCS_190,25,2.0,0.78,0.72,0.02122448979591837,0.24,round,0.08,rounded.pentagon
VCS_20,25,2.08,0.6153846153846154,0.5384615384615384,0.05052790346907994,0.36,star,0.08,four.point
VCS_200,25,1.96,0.7551020408163265,0.673469387755102,0.03231292517006803,0.28,pentagon,0.08,pentagon
VCS_210,25,1.8,0.6888888888888889,0.6222222222222222,0.07474747474747474,0.48,pentagon,0.2,pentagon
VCS_220,25,1.72,0.7209302325581395,0.6744186046511628,0.07641196013289037,0.48,pentagon,0.16,pentagon
VCS_230,25,1.96,0.7142857142857143,0.673469387755102,0.05357142857142857,0.44,pentagon,0.16,pentagon
VCS_240,25,2.12,0.6037735849056604,0.5283018867924528,0.05079825834542816,0.32,"pentagon,star",0.16,pentagon
VCS_250,25,2.28,0.631578947368421,0.5614035087719298,0.040100250626566414,0.36,star,0.04,"pointy.pentagon,more.star.shaped,inverted.pentagon.shape,weird.pentagons,rounded.pentagon,star.hexagon,star,three.points,pentagon,square.stars,polygon,semi.square,star.square,punching.dummy,top.half.resembles.a.star.with.a.square.shaped.bottom,horizontal.base.and.straight.lines,three.star,three.point,half.star,edges,standing.up,flat.stars,flat.bottom,idk,pointy"
VCS_260,25,2.36,0.6271186440677966,0.5423728813559322,0.046756282875511396,0.44,star,0.08,star
VCS_270,25,2.4,0.6166666666666667,0.5333333333333333,0.04632768361581921,0.44,star,0.04,"pointy.pentagon,more.star.shaped,inverted.pentagon.shape,weird.pentagons,star.hexagon,star,three.points,pentagon,square.stars,skinny.flat.stars,polygon,half.stars,punching.dummy,top.half.resembles.a.star.with.a.square.shaped.bottom,stars,medium.sized.half.star,horizontal.base.and.straight.lines,three.star,three.point,flat.bottoms,standing.up,flat.bottom,star.square,edges,pointy"
VCS_280,25,2.4,0.6166666666666667,0.5333333333333333,0.04632768361581921,0.44,star,0.04,"pointy.pentagon,point.stars,more.star.shaped,inverted.pentagon.shape,weird.pentagons,star.hexagon,three.points,pentagon,square.stars,skinny.flat.stars,polygon,half.stars,punching.dummy,top.half.resembles.a.star.with.a.square.shaped.bottom,stars,medium.sized.half.star,horizontal.base.and.straight.lines,star,three.point,flat.bottoms,standing.up,flat.bottom,star.square,edges,pointy"
